time, Quad.IMU.AX
3.459932,-0.206539
3.464931,0.109454
3.469931,0.256392
3.474931,0.304521
3.479930,0.090862
3.484930,0.170205
3.489929,-0.278775
3.494929,-0.681112
3.499929,0.169817
3.504928,0.130648
3.509928,1.145933
3.514928,-0.176904
3.519927,0.849195
3.524927,0.773099
3.529927,0.397328
3.534926,0.015370
3.539926,-0.963892
3.544925,0.530458
3.549925,0.325901
3.554925,0.456859
3.559924,0.908296
3.564924,-0.579500
3.569924,0.796096
3.574923,-0.265672
3.579923,0.110568
3.584923,-0.110091
3.589922,-0.135631
3.594922,0.491320
3.599921,0.604038
3.604921,-0.968892
3.609921,0.107140
3.614920,0.669903
3.619920,-0.246054
3.624920,0.066802
3.629919,-0.051931
3.634919,-0.032054
3.639919,-0.232406
3.644918,-0.073880
3.649918,0.165302
3.654917,0.155049
3.659917,0.184253
3.664917,0.159769
3.669916,0.145893
3.674916,0.204332
3.679916,-0.444611
3.684915,-0.233868
3.689915,0.281108
3.694915,0.038480
3.699914,0.862831
3.704914,0.372968
3.709913,-0.474071
3.714913,-0.430542
3.719913,-0.298108
3.724912,-0.382653
3.729912,-0.494880
3.734912,-0.521522
3.739911,0.131919
3.744911,0.324978
3.749911,0.197503
3.754910,-0.906658
3.759910,-0.899620
3.764910,0.611923
3.769909,-0.113334
3.774909,-0.061087
3.779908,0.082560
3.784908,-0.140640
3.789908,0.121827
3.794907,0.418198
3.799907,0.260654
3.804907,0.249879
3.809906,0.276987
3.814906,0.236042
3.819906,0.416224
3.824905,0.622844
3.829905,-0.313286
3.834904,0.602259
3.839904,0.511346
3.844904,0.493127
3.849903,0.576518
3.854903,0.270753
3.859903,-0.291562
3.864902,-0.040460
3.869902,0.583164
3.874902,0.080237
3.879901,0.898154
3.884901,0.925881
3.889900,0.154090
3.894900,-0.041868
3.899900,0.234841
3.904899,0.405845
3.909899,0.091683
3.914899,0.308769
3.919898,-0.139213
3.924898,-0.624314
3.929898,0.625980
3.934897,-0.888572
3.939897,-0.003004
3.944896,-0.376907
3.949896,-0.207104
3.954896,0.137652
3.959895,0.099025
3.964895,0.054304
3.969895,-0.362166
3.974894,-0.481347
3.979894,0.620011
3.984894,0.196129
3.989893,-0.145077
3.994893,0.131344
3.999892,-0.259673
4.004892,-0.447476
4.009892,0.182293
4.014892,-0.987617
4.019891,1.072190
4.024891,0.138113
4.029891,-0.023962
4.034890,-0.783977
4.039890,-0.367817
4.044889,0.412622
4.049889,0.733934
4.054889,-0.350657
4.059888,0.066523
4.064888,-0.061647
4.069888,0.827037
4.074887,0.642099
4.079887,0.020046
4.084887,0.417805
4.089886,-0.723438
4.094886,-0.885823
4.099885,-0.341657
4.104885,-0.267977
4.109885,-0.230302
4.114884,-0.209226
4.119884,-0.698502
4.124884,0.077208
4.129883,-0.473883
4.134883,0.249931
4.139883,-0.902335
4.144882,-0.309731
4.149882,-0.107950
4.154881,-0.498176
4.159881,-0.370868
4.164881,-0.119782
4.169880,0.494305
4.174880,0.506343
4.179880,0.335034
4.184879,0.825464
4.189879,0.310149
4.194879,0.505999
4.199878,-0.789287
4.204878,0.294647
4.209877,0.171988
4.214877,0.171207
4.219877,-0.012177
4.224876,-1.014753
4.229876,0.651885
4.234876,0.190602
4.239875,-0.599755
4.244875,-1.019691
4.249875,0.632705
4.254874,-0.445311
4.259874,-0.793655
4.264874,-0.103043
4.269873,0.024834
4.274873,-0.355909
4.279872,-0.894873
4.284872,-0.424019
4.289872,-0.991187
4.294871,-0.341993
4.299871,-0.307813
4.304871,-1.003627
4.309870,-0.379254
4.314870,1.412807
4.319870,0.224835
4.324869,0.869660
4.329869,0.330526
4.334868,-0.368847
4.339868,0.452519
4.344868,-0.418138
4.349867,0.674030
4.354867,0.104942
4.359867,-0.369969
4.364866,0.927793
4.369866,-0.235206
4.374866,-0.897164
4.379865,-0.586082
4.384865,0.044563
4.389864,0.442456
4.394864,0.308143
4.399864,0.137548
4.404863,0.195154
4.409863,-0.233259
4.414863,0.162241
4.419862,1.013330
4.424862,-0.280656
4.429862,1.095171
4.434861,0.818290
4.439861,0.900322
4.444860,0.111715
4.449860,-0.230594
4.454860,0.016880
4.459859,0.772304
4.464859,-0.221439
4.469859,0.718518
4.474858,0.142431
4.479858,-0.302337
4.484858,0.678587
4.489857,-0.931086
4.494857,-0.003628
4.499856,0.524478
4.504856,-0.371755
4.509856,-0.666356
4.514855,0.029122
4.519855,0.257881
4.524855,0.213138
4.529854,-0.197657
4.534854,0.107141
4.539854,0.155703
4.544853,-0.042799
4.549853,-0.783226
4.554852,0.030126
4.559852,-0.463753
4.564852,-0.476604
4.569851,0.630789
4.574851,-0.288603
4.579851,0.263333
4.584850,0.342074
4.589850,0.144259
4.594850,0.111853
4.599849,0.572433
4.604849,0.312240
4.609848,0.496635
4.614848,-0.394830
4.619848,0.694401
4.624847,0.736027
4.629847,0.476181
4.634847,-0.004368
4.639846,-0.806952
4.644846,-0.335285
4.649846,-1.031742
4.654845,-0.150852
4.659845,0.152448
4.664845,-0.193096
4.669844,-0.153176
4.674844,0.208270
4.679843,0.057323
4.684843,0.044967
4.689843,-0.249328
4.694842,0.710377
4.699842,0.473940
4.704842,-0.306348
4.709841,0.732489
4.714841,0.536153
4.719841,0.422266
4.724840,0.127674
4.729840,0.425628
4.734839,0.015672
4.739839,-0.388707
4.744839,-0.265392
4.749838,-0.376134
4.754838,0.044605
4.759838,0.038702
4.764837,0.560523
4.769837,0.923174
4.774837,-0.463320
4.779836,0.079044
4.784836,0.228023
4.789835,-0.446225
4.794835,-0.513312
4.799835,0.931937
4.804834,-0.361435
4.809834,0.820450
4.814834,0.443058
4.819833,0.229111
4.824833,-0.020273
4.829833,0.405723
4.834832,-0.006861
4.839832,0.467201
4.844831,0.740880
4.849831,-0.352119
4.854831,-1.658761
4.859830,0.666955
4.864830,0.240634
4.869830,0.710399
4.874829,0.102764
4.879829,-0.258634
4.884829,-0.362608
4.889828,-0.692540
4.894828,-0.344692
4.899827,-0.042537
4.904827,0.028231
4.909827,-0.276258
4.914826,-1.218767
4.919826,0.452167
4.924826,-0.829723
4.929825,-0.465571
4.934825,-0.071299
4.939825,-0.069116
4.944824,0.449574
4.949824,0.599561
4.954823,-0.131691
4.959823,-0.212561
4.964823,-0.556179
4.969822,-0.184345
4.974822,-0.105520
4.979822,0.939971
4.984821,-0.287089
4.989821,0.569091
4.994821,-0.474226
4.999820,0.095309
5.004820,0.365300
5.009820,0.120540
5.014819,-0.163281
5.019819,0.189874
5.024818,-0.352253
5.029818,-0.332056
5.034818,-0.138201
5.039817,-0.260000
5.044817,0.346806
5.049817,-1.125034
5.054816,-0.210584
5.059816,0.257961
5.064816,0.425102
5.069815,0.065168
5.074815,0.080241
5.079814,0.506150
5.084814,-1.426847
5.089814,-0.730096
5.094813,-0.257579
5.099813,-0.301301
5.104813,-0.633923
5.109812,1.056883
5.114812,0.531920
5.119812,-0.701224
5.124811,-0.561444
5.129811,0.798575
